Date,Month,DateSeasonStream,7DayDischargeSeason,MonthYear,StartTime,EndTime,StartTimeEpoch,EndTimeEpoch,Collector,SampleLabel,BottleNumber,SampleID,Site,SampleDepth,SampleName,vvhA,TotalN,TotalP,Phosphate,Si,N+N,Ammonia,DOC,TDN,LabChla,POC,PON,FCM,LabSalinity,LabpH,Conductivity,Density,Salinity,Temperature,TurbidityNTU,Chlorophyll,O2Saturation,O2Concentration,Depth,Latitude,Longitude,Distance,M:C,BIX,HIX,FI,UVHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,FulvicAcid-like,OpticalBrighteners,DieselBandII,Petroleum-like,Lignin-like,TideDirection,TideType,SamplingDirection,NOAAWaterLevelMLLW
10/21/18,October,Dry,Rainy,October 2018,8:14:00 AM,8:16:00 AM,1540145640,1540145760,Bullington,S1-B,3,72,Site 01,Bottom,72-Oct-S1-B,2.1292259,38.2987383,1.302229391,0.129009618,24.27449153,1.547080698,0.236609754,169.9417152,29.65738758,164.9772727,1291,210.7142857,5372.74,NA,NA,54.18135124,1020.161744,32.62427686,29.35967355,2.770895098,10.42094706,24.08015054,1.837644043,1.3521786,21.2752571,-157.8179604,61.03010601,1.118665596,0.682262331,4.685663449,1.553212221,0.20339994,0.208985547,0.186816818,0.167280024,0.096815057,0.043558435,0.106700777,0.152157525,0.090557878,0.224916528,0.175750275,Flood,HL,Back-Offshore,0.2175
10/21/18,October,Dry,Rainy,October 2018,8:06:00 AM,8:08:00 AM,1540145160,1540145280,Bullington,S1-M,2,71,Site 01,Middle,71-Oct-S1-M,4.048538286,41.12869006,1.574871733,0.117373819,72.7366291,8.744648653,13.11590336,165.5287261,26.07423269,54.97619048,968.7142857,182.5714286,5790.53,NA,NA,53.80685124,1019.946281,32.35044215,29.39046281,2.572127184,12.99657476,31.73392473,2.420186151,0.968981855,21.27522462,-157.8179448,57.58827001,1.119412122,0.69018579,5.150503827,1.563336934,0.205420945,0.213818695,0.191009809,0.124530062,0.077118868,0.029603034,0.112508957,0.153885026,0.098015727,0.229548153,0.16515465,Flood,HL,Back-Offshore,0.222666667
10/21/18,October,Dry,Rainy,October 2018,7:58:00 AM,8:01:00 AM,1540144680,1540144860,Bullington,S1-S,1,70,Site 01,Surface,70-Oct-S1-S,12.81256431,88.45881273,1.631322334,0.212907426,24.654734,2.482400261,17.79182696,187.427144,76.37401856,45.925,1175.142857,180.5714286,5310.22,NA,NA,42.43956906,1015.269693,25.52289227,28.05119337,3.128143791,12.08125686,77.18721583,6.018433151,0.2857525,21.27533454,-157.8179335,65.45243723,1.097324829,0.712651064,4.360392075,1.543965013,0.222247559,0.227836763,0.207629279,0.184812541,0.10114411,0.046465831,0.144750431,0.167709479,0.141939291,0.268466167,0.211279688,Flood,HL,Back-Offshore,0.215559524
10/21/18,October,Dry,Rainy,October 2018,8:39:00 AM,8:41:00 AM,1540147140,1540147260,Bullington,S2-B,4,73,Site 03,Bottom,73-Oct-S3-B,3.605203237,24.10650421,0.435889238,0.158006769,190.4404511,13.06724283,8.212333007,145.9616986,27.20199857,27.6,946.1428571,148.7142857,5180.47,NA,NA,54.28656612,1020.470058,32.90158264,29.05838843,3.606273077,6.010093269,9.36362766,0.718118468,1.787844366,21.27814693,-157.8209517,507.8717219,1.103767018,0.667091715,5.202504573,1.552335763,0.206685414,0.209937503,0.19020092,0.122968706,0.07898797,0.037573446,0.097810744,0.15237165,0.077161914,0.222480371,0.155428395,Flood,HL,Back-Offshore,0.234666667
10/21/18,October,Dry,Rainy,October 2018,8:45:00 AM,8:47:00 AM,1540147500,1540147620,Bullington,S2-M,5,74,Site 03,Middle,74-Oct-S3-M,1.204066102,29.3040293,0.341023031,0.165856316,97.75048099,11.23722708,16.19054973,197.0857619,29.50035689,30.225,1202.428571,195.7142857,5161.98,NA,NA,49.72289256,1018.2045,29.85239256,29.00061983,2.913543,8.469637,71.76773118,5.509961634,0.681792857,21.2781509,-157.8209671,509.3097897,1.074322181,0.643620225,6.28538233,1.539911486,0.258371627,0.256373822,0.238637744,0.130415461,0.081185583,0.041306864,0.146609612,0.191801656,0.134054076,0.296342346,0.196755568,Flood,HL,Back-Offshore,0.246666667
10/21/18,October,Dry,Rainy,October 2018,8:51:00 AM,8:53:00 AM,1540147860,1540147980,Bullington,S2-S,6,75,Site 03,Surface,75-Oct-S3-S,21.50983669,84.16941608,1.313009642,0.189728175,46.89422417,6.355012522,18.31087234,173.1057452,58.94361171,50.175,781.7142857,114.7142857,4379.8,NA,NA,37.16979339,1012.954116,22.24228512,27.6107562,2.657088235,5.399091176,114.0118404,8.969318468,0.29342815,21.27813676,-157.8209899,509.8529938,1.14830674,0.667696733,5.146697817,1.50655167,0.227230215,0.235784635,0.205332449,0.146517141,0.090784391,0.044203569,0.111691341,0.162573492,0.092685873,0.254327833,0.201699877,Flood,HL,Back-Offshore,0.251
10/21/18,October,Dry,Rainy,October 2018,9:08:00 AM,9:10:00 AM,1540148880,1540149000,Bullington,S3-B,7,76,Site 05,Bottom,76-Oct-S5-B,9.350159612,44.82460014,1.049187505,0.21198395,149.9070732,22.44668741,0.899197933,175.3538718,36.19557459,35.20454545,735.4285714,129.8571429,3387.35,NA,NA,49.60074793,1018.61724,30.14480579,28.40737603,5.749074038,5.743544231,35.44060215,2.749593462,0.783108841,21.28282863,-157.8264325,1278.651987,1.095858825,0.597104845,7.644495763,1.504397938,0.275604428,0.270757053,0.247072932,0.112035361,0.066744875,0.034463021,0.129636441,0.194352113,0.102405472,0.304752407,0.185417763,Flood,HL,Back-Offshore,0.268
10/21/18,October,Dry,Rainy,October 2018,9:13:00 AM,9:15:00 AM,1540149180,1540149300,Bullington,S3-M,8,77,Site 05,Middle,77-Oct-S5-M,13.67127461,53.65131323,0.911984313,0.201133105,44.89912479,5.617631434,5.595069264,177.1856786,41.42041399,19.42857143,727.7142857,103.4285714,3559,NA,NA,42.94286777,1015.689798,25.98615702,27.81853719,4.004740594,3.719012871,42.5441828,3.332517849,0.502264305,21.28299934,-157.8264912,1296.231462,1.115508385,0.593030423,7.236951886,1.498475163,0.308610226,0.302999534,0.271624613,0.121671654,0.075076398,0.050740806,0.14055538,0.213552268,0.110554896,0.332511211,0.217447897,Flood,HL,Back-Offshore,0.275333333
10/21/18,October,Dry,Rainy,October 2018,9:18:00 AM,9:20:00 AM,1540149480,1540149600,Bullington,S3-S,9,78,Site 05,Surface,78-Oct-S5-S,37.30837635,58.90508231,0.381399971,0.156944772,28.71065369,2.194733247,16.04842214,155.0374688,48.09421842,11.55,546,75.28571429,3052.98,NA,NA,26.60874793,1008.645132,15.88607851,26.12320248,3.434849,1.811128,59.64529032,4.809709763,0.253290989,21.2829365,-157.8265241,1293.825523,1.139854634,0.585157493,6.994454274,1.476232759,0.285055918,0.281943953,0.247350797,0.109035899,0.06777571,0.047305082,0.122152901,0.192050469,0.090758915,0.30067615,0.193907494,Flood,HL,Back-Offshore,0.285333333
10/21/18,October,Dry,Rainy,October 2018,9:34:00 AM,9:36:00 AM,1540150440,1540150560,Bullington,S4-B,10,79,Site 07,Bottom,79-Oct-S7-B,15.00962029,33.70396349,0.867295274,0.358539615,106.5594316,30.52243437,2.680072143,119.4837635,27.29478944,19.075,359.5714286,50.85714286,1302,NA,NA,52.99059091,1020.748058,32.78321901,27.94004959,8.816803061,3.847429592,31.07523656,2.430958796,1.5914425,21.28709554,-157.8312426,1967.525009,1.079219464,0.608670418,6.243857832,1.533406269,0.16487705,0.162502317,0.15057393,0.06570482,0.047448594,0.028402591,0.076447133,0.121211936,0.058266144,0.180931936,0.119013143,Flood,HL,Back-Offshore,0.2985
10/21/18,October,Dry,Rainy,October 2018,9:40:00 AM,9:42:00 AM,1540150800,1540150920,Bullington,S4-M,11,80,Site 07,Middle,80-Oct-S7-M,32.38968945,36.73481759,0.240472692,0.216324288,28.64962712,2.575164391,7.838313032,172.6894255,34.12562455,24.0952381,754.4285714,101.5714286,4110.06,NA,NA,44.75102273,1016.392105,27.04627727,28.10913636,4.019168,2.710158,47.57469149,3.706522213,0.527166614,21.2871082,-157.8311171,1959.114454,1.114949615,0.598170118,7.13693055,1.519839927,0.306342121,0.302543285,0.271351531,0.12018854,0.072657981,0.039866896,0.13289211,0.210556923,0.100490779,0.322970396,0.196006296,Flood,HL,Back-Offshore,0.304166667
10/21/18,October,Dry,Rainy,October 2018,9:45:00 AM,9:47:00 AM,1540151100,1540151220,Bullington,S4-S,12,81,Site 07,Surface,81-Oct-S7-S,9.589077466,66.3419323,0.916492418,0.230915211,211.0392654,11.38275694,3.454731533,138.0516236,51.32762313,12.2,495.4285714,52.71428571,3237.63,NA,NA,22.04453306,1006.425107,12.9249876,26.14394628,2.531258416,1.147343564,76.70436559,6.20215157,0.206386484,21.28705115,-157.8311165,1954.66743,1.148071219,0.587245551,6.975468023,1.463966639,0.248517584,0.244763857,0.213195708,0.095671622,0.061516082,0.0437102,0.105778077,0.164661367,0.079472566,0.269074434,0.17071411,Flood,HL,Back-Offshore,0.309
10/21/18,October,Dry,Rainy,October 2018,10:01:00 AM,10:03:00 AM,1540152060,1540152180,Bullington,S5-B,13,82,Site 09,Bottom,82-Oct-S9-B,1.852903719,20.23657981,0.899832031,0.369021069,26.67095797,2.960595333,6.574934208,96.33638634,16.50963597,4.35,398.8571429,48.85714286,914.77551,NA,NA,52.53121901,1020.563661,32.5095124,27.87453306,6.87958,2.093179,47.86067021,3.749164936,1.383333636,21.28887547,-157.8353015,2450.331218,1.078110743,0.631504764,4.919435257,1.535486065,0.103235659,0.103029972,0.095565296,0.046059859,0.044473091,0.022477938,0.04851669,0.07571122,0.038296714,0.111362159,0.068161964,Flood,HL,Back-Offshore,0.329333333
